Region;Delegation;Sown Year;Sown Area (khas);Harvested Area (khas);Yield by Delegation (tn/has);Production (kTn);ENSO;Month;PH /HW;Protein;
N CBA;S FRANCISCO;2012;173;171,27;2,3;393,921;NEUTRAL;Aug;79,5;11,8;
C CBA;VILLA MARIA;2012;127;125,73;2,2;276,606;NEUTRAL;Aug;74,15339278;11,77706039;
ER;PARANA;2012;65;63,7;1,9;121,03;NEUTRAL;Aug;77,02506226;11,69920323;
ER;ROS DEL TALA;2012;106;103,88;2,1;218,148;NEUTRAL;Aug;74,89314094;12,3155533;
S LP;SANTA ROSA;2012;94;93,06;2,3;214,038;NEUTRAL;Aug;80,87337769;11,67036015;
N LP;GRAL PICO;2012;60;59,4;2,8;166,32;NEUTRAL;Aug;81,2636344;11,058589;
NEA;Chaco North;2012;10;9,5;1,6;15,2;NEUTRAL;Aug;78,35;13;
NEA;Chaco Central/SW;2012;30;28,5;1,6;45,6;NEUTRAL;Aug;78,35;13;
NEA;Chaco East;2012;8,5;8,075;1,6;12,92;NEUTRAL;Aug;78,35;13;
C BA;BRAGADO;2012;39,95;39,151;3;117,453;NEUTRAL;Sep;72,33763547;11,59236506;
SW BA;B BLANCA;2012;201;194,97;1,5;292,455;NEUTRAL;Sep;81,5343447;10,84178308;
N BA;JUNIN;2012;56;53,76;3,5;188,16;NEUTRAL;Sep;72,66059313;12,27085835;
N BA;PERGAMINO;2012;62,4;60,528;2,9;175,5312;NEUTRAL;Sep;76,1;11,85;
SW BA;PIGUE;2012;279,75;276,9525;2,9;803,16225;NEUTRAL;Sep;81,21163326;10,98997839;
C BA;SALIQUELLO;2012;97,5;96,525;3,1;299,2275;NEUTRAL;Sep;79,84764657;10,90766186;
SE BA;TANDIL;2012;239;234,22;4,7;1100,834;NEUTRAL;Sep;80,82945187;10,44737353;
SE BA;TRES ARROYOS;2012;448;443,52;3,7;1641,024;NEUTRAL;Sep;80,43313627;11,13807895;
C BA;25 DE MAYO;2012;74,8;52,36;3,5;183,26;NEUTRAL;Sep;76,09450379;10,6;
S SFE;CASILDA;2012;66,5;65,17;3;195,51;NEUTRAL;Sep;74,2253879;11,73445251;
C SFE;CDA GOMEZ;2012;124;121,52;2,8;340,256;NEUTRAL;Sep;74,05035322;11,82949637;
N SFE;RAFAELA;2012;116,25;115,0875;2,6;299,2275;NEUTRAL;Sep;76,85274638;11,80389027;
N SFE;AVELLANEDA;2012;20;19,6;1,7;33,32;NEUTRAL;Sep;80,5;11,4;
S SFE;VDO TUERTO;2012;73;70,08;3;210,24;NEUTRAL;Sep;74,34;11,74;
S CBA;LABOULAYE;2012;75;73,5;2,6;191,1;NEUTRAL;Sep;76,55382497;12,29094248;
E CBA;M JUAREZ;2012;146,25;141,8625;2,8;397,215;NEUTRAL;Sep;75,5598892;12,24238323;
N CBA;S FRANCISCO;2012;173;171,27;2,3;393,921;NEUTRAL;Sep;79,5;11,8;
C CBA;VILLA MARIA;2012;127;125,73;2,2;276,606;NEUTRAL;Sep;74,15339278;11,77706039;
ER;PARANA;2012;65;63,7;1,9;121,03;NEUTRAL;Sep;77,02506226;11,69920323;
ER;ROS DEL TALA;2012;106;103,88;2,1;218,148;NEUTRAL;Sep;74,89314094;12,3155533;
S LP;SANTA ROSA;2012;94;93,06;2,3;214,038;NEUTRAL;Sep;80,87337769;11,67036015;
N LP;GRAL PICO;2012;60;59,4;2,8;166,32;NEUTRAL;Sep;81,2636344;11,058589;
NEA;Chaco North;2012;10;9,5;1,6;15,2;NEUTRAL;Sep;78,35;13;
NEA;Chaco Central/SW;2012;30;28,5;1,6;45,6;NEUTRAL;Sep;78,35;13;
NEA;Chaco East;2012;8,5;8,075;1,6;12,92;NEUTRAL;Sep;78,35;13;
C BA;BRAGADO;2012;39,95;39,151;3;117,453;NEUTRAL;Oct;72,33763547;11,59236506;
SW BA;B BLANCA;2012;201;194,97;1,5;292,455;NEUTRAL;Oct;81,5343447;10,84178308;
N BA;JUNIN;2012;56;53,76;3,5;188,16;NEUTRAL;Oct;72,66059313;12,27085835;
N BA;PERGAMINO;2012;62,4;60,528;2,9;175,5312;NEUTRAL;Oct;76,1;11,85;
SW BA;PIGUE;2012;279,75;276,9525;2,9;803,16225;NEUTRAL;Oct;81,21163326;10,98997839;
C BA;SALIQUELLO;2012;97,5;96,525;3,1;299,2275;NEUTRAL;Oct;79,84764657;10,90766186;
SE BA;TANDIL;2012;239;234,22;4,7;1100,834;NEUTRAL;Oct;80,82945187;10,44737353;
SE BA;TRES ARROYOS;2012;448;443,52;3,7;1641,024;NEUTRAL;Oct;80,43313627;11,13807895;
C BA;25 DE MAYO;2012;74,8;52,36;3,5;183,26;NEUTRAL;Oct;76,09450379;10,6;
S SFE;CASILDA;2012;66,5;65,17;3;195,51;NEUTRAL;Oct;74,2253879;11,73445251;
C SFE;CDA GOMEZ;2012;124;121,52;2,8;340,256;NEUTRAL;Oct;74,05035322;11,82949637;
N SFE;RAFAELA;2012;116,25;115,0875;2,6;299,2275;NEUTRAL;Oct;76,85274638;11,80389027;
N SFE;AVELLANEDA;2012;20;19,6;1,7;33,32;NEUTRAL;Oct;80,5;11,4;
S SFE;VDO TUERTO;2012;73;70,08;3;210,24;NEUTRAL;Oct;74,34;11,74;
S CBA;LABOULAYE;2012;75;73,5;2,6;191,1;NEUTRAL;Oct;76,55382497;12,29094248;
E CBA;M JUAREZ;2012;146,25;141,8625;2,8;397,215;NEUTRAL;Oct;75,5598892;12,24238323;
N CBA;S FRANCISCO;2012;173;171,27;2,3;393,921;NEUTRAL;Oct;79,5;11,8;
C CBA;VILLA MARIA;2012;127;125,73;2,2;276,606;NEUTRAL;Oct;74,15339278;11,77706039;
ER;PARANA;2012;65;63,7;1,9;121,03;NEUTRAL;Oct;77,02506226;11,69920323;
ER;ROS DEL TALA;2012;106;103,88;2,1;218,148;NEUTRAL;Oct;74,89314094;12,3155533;
S LP;SANTA ROSA;2012;94;93,06;2,3;214,038;NEUTRAL;Oct;80,87337769;11,67036015;
N LP;GRAL PICO;2012;60;59,4;2,8;166,32;NEUTRAL;Oct;81,2636344;11,058589;
NEA;Chaco North;2012;10;9,5;1,6;15,2;NEUTRAL;Oct;78,35;13;
NEA;Chaco Central/SW;2012;30;28,5;1,6;45,6;NEUTRAL;Oct;78,35;13;
NEA;Chaco East;2012;8,5;8,075;1,6;12,92;NEUTRAL;Oct;78,35;13;
C BA;BRAGADO;2012;39,95;39,151;3;117,453;NEUTRAL;Nov;72,33763547;11,59236506;
SW BA;B BLANCA;2012;201;194,97;1,5;292,455;NEUTRAL;Nov;81,5343447;10,84178308;
N BA;JUNIN;2012;56;53,76;3,5;188,16;NEUTRAL;Nov;72,66059313;12,27085835;
N BA;PERGAMINO;2012;62,4;60,528;2,9;175,5312;NEUTRAL;Nov;76,1;11,85;
SW BA;PIGUE;2012;279,75;276,9525;2,9;803,16225;NEUTRAL;Nov;81,21163326;10,98997839;
C BA;SALIQUELLO;2012;97,5;96,525;3,1;299,2275;NEUTRAL;Nov;79,84764657;10,90766186;
SE BA;TANDIL;2012;239;234,22;4,7;1100,834;NEUTRAL;Nov;80,82945187;10,44737353;
SE BA;TRES ARROYOS;2012;448;443,52;3,7;1641,024;NEUTRAL;Nov;80,43313627;11,13807895;
C BA;25 DE MAYO;2012;74,8;52,36;3,5;183,26;NEUTRAL;Nov;76,09450379;10,6;
S SFE;CASILDA;2012;66,5;65,17;3;195,51;NEUTRAL;Nov;74,2253879;11,73445251;
C SFE;CDA GOMEZ;2012;124;121,52;2,8;340,256;NEUTRAL;Nov;74,05035322;11,82949637;
N SFE;RAFAELA;2012;116,25;115,0875;2,6;299,2275;NEUTRAL;Nov;76,85274638;11,80389027;
N SFE;AVELLANEDA;2012;20;19,6;1,7;33,32;NEUTRAL;Nov;80,5;11,4;
S SFE;VDO TUERTO;2012;73;70,08;3;210,24;NEUTRAL;Nov;74,34;11,74;
S CBA;LABOULAYE;2012;75;73,5;2,6;191,1;NEUTRAL;Nov;76,55382497;12,29094248;
E CBA;M JUAREZ;2012;146,25;141,8625;2,8;397,215;NEUTRAL;Nov;75,5598892;12,24238323;
N CBA;S FRANCISCO;2012;173;171,27;2,3;393,921;NEUTRAL;Nov;79,5;11,8;
C CBA;VILLA MARIA;2012;127;125,73;2,2;276,606;NEUTRAL;Nov;74,15339278;11,77706039;
ER;PARANA;2012;65;63,7;1,9;121,03;NEUTRAL;Nov;77,02506226;11,69920323;
ER;ROS DEL TALA;2012;106;103,88;2,1;218,148;NEUTRAL;Nov;74,89314094;12,3155533;
S LP;SANTA ROSA;2012;94;93,06;2,3;214,038;NEUTRAL;Nov;80,87337769;11,67036015;
N LP;GRAL PICO;2012;60;59,4;2,8;166,32;NEUTRAL;Nov;81,2636344;11,058589;
NEA;Chaco North;2012;10;9,5;1,6;15,2;NEUTRAL;Nov;78,35;13;
NEA;Chaco Central/SW;2012;30;28,5;1,6;45,6;NEUTRAL;Nov;78,35;13;
NEA;Chaco East;2012;8,5;8,075;1,6;12,92;NEUTRAL;Nov;78,35;13;
C BA;BRAGADO;2012;39,95;39,151;3;117,453;NEUTRAL;Dec;72,33763547;11,59236506;
SW BA;B BLANCA;2012;201;194,97;1,5;292,455;NEUTRAL;Dec;81,5343447;10,84178308;
N BA;JUNIN;2012;56;53,76;3,5;188,16;NEUTRAL;Dec;72,66059313;12,27085835;
N BA;PERGAMINO;2012;62,4;60,528;2,9;175,5312;NEUTRAL;Dec;76,1;11,85;
SW BA;PIGUE;2012;279,75;276,9525;2,9;803,16225;NEUTRAL;Dec;81,21163326;10,98997839;
C BA;SALIQUELLO;2012;97,5;96,525;3,1;299,2275;NEUTRAL;Dec;79,84764657;10,90766186;
SE BA;TANDIL;2012;239;234,22;4,7;1100,834;NEUTRAL;Dec;80,82945187;10,44737353;
SE BA;TRES ARROYOS;2012;448;443,52;3,7;1641,024;NEUTRAL;Dec;80,43313627;11,13807895;
C BA;25 DE MAYO;2012;74,8;52,36;3,5;183,26;NEUTRAL;Dec;76,09450379;10,6;
S SFE;CASILDA;2012;66,5;65,17;3;195,51;NEUTRAL;Dec;74,2253879;11,73445251;
C SFE;CDA GOMEZ;2012;124;121,52;2,8;340,256;NEUTRAL;Dec;74,05035322;11,82949637;
N SFE;RAFAELA;2012;116,25;115,0875;2,6;299,2275;NEUTRAL;Dec;76,85274638;11,80389027;
N SFE;AVELLANEDA;2012;20;19,6;1,7;33,32;NEUTRAL;Dec;80,5;11,4;
S SFE;VDO TUERTO;2012;73;70,08;3;210,24;NEUTRAL;Dec;74,34;11,74;
S CBA;LABOULAYE;2012;75;73,5;2,6;191,1;NEUTRAL;Dec;76,55382497;12,29094248;
E CBA;M JUAREZ;2012;146,25;141,8625;2,8;397,215;NEUTRAL;Dec;75,5598892;12,24238323;
N CBA;S FRANCISCO;2012;173;171,27;2,3;393,921;NEUTRAL;Dec;79,5;11,8;
C CBA;VILLA MARIA;2012;127;125,73;2,2;276,606;NEUTRAL;Dec;74,15339278;11,77706039;
ER;PARANA;2012;65;63,7;1,9;121,03;NEUTRAL;Dec;77,02506226;11,69920323;
ER;ROS DEL TALA;2012;106;103,88;2,1;218,148;NEUTRAL;Dec;74,89314094;12,3155533;
S LP;SANTA ROSA;2012;94;93,06;2,3;214,038;NEUTRAL;Dec;80,87337769;11,67036015;
N LP;GRAL PICO;2012;60;59,4;2,8;166,32;NEUTRAL;Dec;81,2636344;11,058589;
NEA;Chaco North;2012;10;9,5;1,6;15,2;NEUTRAL;Dec;78,35;13;
NEA;Chaco Central/SW;2012;30;28,5;1,6;45,6;NEUTRAL;Dec;78,35;13;
NEA;Chaco East;2012;8,5;8,075;1,6;12,92;NEUTRAL;Dec;78,35;13;
C BA;BRAGADO;2013;70;69,3;4,1;284,13;NEUTRAL;April;81,174421;11,15299845;
C BA;BOLIVAR;2013;95;94,05;4;376,2;NEUTRAL;April;84,03461347;10,80646046;
SW BA;B BLANCA;2013;200;196;1,4;274,4;NEUTRAL;April;82,32935512;10,71360904;
N BA;JUNIN;2013;80;79,2;4;316,8;NEUTRAL;April;81,68193437;11,0362584;
W BA;LINCOLN;2013;102;100,98;3,3;333,234;NEUTRAL;April;80,89319647;11,23267981;
N BA;PERGAMINO;2013;80;79,2;4;316,8;NEUTRAL;April;78,3964375;12,61068749;
SW BA;PIGUE;2013;330;326,7;2,6;849,42;NEUTRAL;April;81,83438211;10,78139751;
C BA;SALIQUELLO;2013;100;99;2,7;267,3;NEUTRAL;April;81,03508236;11,39455522;
SE BA;TANDIL;2013;289;287,555;5,2;1495,286;NEUTRAL;April;82,64173573;10,11080855;
SE BA;TRES ARROYOS;2013;558;541,26;3,9;2110,914;NEUTRAL;April;82,2648632;10,80344185;
C BA;25 DE MAYO;2013;105;104,475;4;417,9;NEUTRAL;April;82,96881084;10,26316882;
S SFE;CASILDA;2013;85;82,45;2,2;181,39;NEUTRAL;April;78,10232493;11,96803683;
C SFE;CDA GOMEZ;2013;145;140,65;2,3;323,495;NEUTRAL;April;78,51726715;12,38963354;
N SFE;RAFAELA;2013;165;148,5;1,7;252,45;NEUTRAL;April;77,11293766;11,52039567;
N SFE;AVELLANEDA;2013;24;21,6;1,3;28,08;NEUTRAL;April;77,85;12,2;
S SFE;VDO TUERTO;2013;85;83,3;2,9;241,57;NEUTRAL;April;78,5;11,46666667;
S CBA;LABOULAYE;2013;85;80,75;1,6;129,2;NEUTRAL;April;78,71666667;13,23333333;
E CBA;M JUAREZ;2013;180;171;2,8;478,8;NEUTRAL;April;77,61117967;12,43468463;
S CBA;RIO IV;2013;80;72;1,6;115,2;NEUTRAL;April;76,1;12,8;
N CBA;S FRANCISCO;2013;170;136;1,1;149,6;NEUTRAL;April;76,5;13,8;
C CBA;VILLA MARIA;2013;150;127,5;1,1;140,25;NEUTRAL;April;73,77531855;13,81392912;
ER;PARANA;2013;111;107,67;2,1;226,107;NEUTRAL;April;78,33527899;11,10641597;
ER;ROS DEL TALA;2013;160;158,4;2,7;427,68;NEUTRAL;April;78,83198951;10,99608432;
S LP;SANTA ROSA;2013;135;132,3;2,2;291,06;NEUTRAL;April;79,87262569;12,58310474;
N LP;GRAL PICO;2013;70;68,6;1,6;109,76;NEUTRAL;April;78,82594646;12,98116028;
C BA;BRAGADO;2013;70;69,3;4,1;284,13;NEUTRAL;May;81,174421;11,15299845;
C BA;BOLIVAR;2013;95;94,05;4;376,2;NEUTRAL;May;84,03461347;10,80646046;
SW BA;B BLANCA;2013;200;196;1,4;274,4;NEUTRAL;May;82,32935512;10,71360904;
N BA;JUNIN;2013;80;79,2;4;316,8;NEUTRAL;May;81,68193437;11,0362584;
W BA;LINCOLN;2013;102;100,98;3,3;333,234;NEUTRAL;May;80,89319647;11,23267981;
N BA;PERGAMINO;2013;80;79,2;4;316,8;NEUTRAL;May;78,3964375;12,61068749;
SW BA;PIGUE;2013;330;326,7;2,6;849,42;NEUTRAL;May;81,83438211;10,78139751;
C BA;SALIQUELLO;2013;100;99;2,7;267,3;NEUTRAL;May;81,03508236;11,39455522;
SE BA;TANDIL;2013;289;287,555;5,2;1495,286;NEUTRAL;May;82,64173573;10,11080855;
SE BA;TRES ARROYOS;2013;558;541,26;3,9;2110,914;NEUTRAL;May;82,2648632;10,80344185;
C BA;25 DE MAYO;2013;105;104,475;4;417,9;NEUTRAL;May;82,96881084;10,26316882;
S SFE;CASILDA;2013;85;82,45;2,2;181,39;NEUTRAL;May;78,10232493;11,96803683;
C SFE;CDA GOMEZ;2013;145;140,65;2,3;323,495;NEUTRAL;May;78,51726715;12,38963354;
N SFE;RAFAELA;2013;165;148,5;1,7;252,45;NEUTRAL;May;77,11293766;11,52039567;
N SFE;AVELLANEDA;2013;24;21,6;1,3;28,08;NEUTRAL;May;77,85;12,2;
S SFE;VDO TUERTO;2013;85;83,3;2,9;241,57;NEUTRAL;May;78,5;11,46666667;
S CBA;LABOULAYE;2013;85;80,75;1,6;129,2;NEUTRAL;May;78,71666667;13,23333333;
E CBA;M JUAREZ;2013;180;171;2,8;478,8;NEUTRAL;May;77,61117967;12,43468463;
S CBA;RIO IV;2013;80;72;1,6;115,2;NEUTRAL;May;76,1;12,8;
N CBA;S FRANCISCO;2013;170;136;1,1;149,6;NEUTRAL;May;76,5;13,8;
C CBA;VILLA MARIA;2013;150;127,5;1,1;140,25;NEUTRAL;May;73,77531855;13,81392912;
ER;PARANA;2013;111;107,67;2,1;226,107;NEUTRAL;May;78,33527899;11,10641597;
ER;ROS DEL TALA;2013;160;158,4;2,7;427,68;NEUTRAL;May;78,83198951;10,99608432;
S LP;SANTA ROSA;2013;135;132,3;2,2;291,06;NEUTRAL;May;79,87262569;12,58310474;
N LP;GRAL PICO;2013;70;68,6;1,6;109,76;NEUTRAL;May;78,82594646;12,98116028;
C BA;BRAGADO;2013;70;69,3;4,1;284,13;NEUTRAL;June;81,174421;11,15299845;
C BA;BOLIVAR;2013;95;94,05;4;376,2;NEUTRAL;June;84,03461347;10,80646046;
SW BA;B BLANCA;2013;200;196;1,4;274,4;NEUTRAL;June;82,32935512;10,71360904;
N BA;JUNIN;2013;80;79,2;4;316,8;NEUTRAL;June;81,68193437;11,0362584;
W BA;LINCOLN;2013;102;100,98;3,3;333,234;NEUTRAL;June;80,89319647;11,23267981;
N BA;PERGAMINO;2013;80;79,2;4;316,8;NEUTRAL;June;78,3964375;12,61068749;
SW BA;PIGUE;2013;330;326,7;2,6;849,42;NEUTRAL;June;81,83438211;10,78139751;
C BA;SALIQUELLO;2013;100;99;2,7;267,3;NEUTRAL;June;81,03508236;11,39455522;
SE BA;TANDIL;2013;289;287,555;5,2;1495,286;NEUTRAL;June;82,64173573;10,11080855;
SE BA;TRES ARROYOS;2013;558;541,26;3,9;2110,914;NEUTRAL;June;82,2648632;10,80344185;
C BA;25 DE MAYO;2013;105;104,475;4;417,9;NEUTRAL;June;82,96881084;10,26316882;
S SFE;CASILDA;2013;85;82,45;2,2;181,39;NEUTRAL;June;78,10232493;11,96803683;
C SFE;CDA GOMEZ;2013;145;140,65;2,3;323,495;NEUTRAL;June;78,51726715;12,38963354;
N SFE;RAFAELA;2013;165;148,5;1,7;252,45;NEUTRAL;June;77,11293766;11,52039567;
N SFE;AVELLANEDA;2013;24;21,6;1,3;28,08;NEUTRAL;June;77,85;12,2;
S SFE;VDO TUERTO;2013;85;83,3;2,9;241,57;NEUTRAL;June;78,5;11,46666667;
S CBA;LABOULAYE;2013;85;80,75;1,6;129,2;NEUTRAL;June;78,71666667;13,23333333;
E CBA;M JUAREZ;2013;180;171;2,8;478,8;NEUTRAL;June;77,61117967;12,43468463;
S CBA;RIO IV;2013;80;72;1,6;115,2;NEUTRAL;June;76,1;12,8;
N CBA;S FRANCISCO;2013;170;136;1,1;149,6;NEUTRAL;June;76,5;13,8;
C CBA;VILLA MARIA;2013;150;127,5;1,1;140,25;NEUTRAL;June;73,77531855;13,81392912;
ER;PARANA;2013;111;107,67;2,1;226,107;NEUTRAL;June;78,33527899;11,10641597;
ER;ROS DEL TALA;2013;160;158,4;2,7;427,68;NEUTRAL;June;78,83198951;10,99608432;
S LP;SANTA ROSA;2013;135;132,3;2,2;291,06;NEUTRAL;June;79,87262569;12,58310474;
N LP;GRAL PICO;2013;70;68,6;1,6;109,76;NEUTRAL;June;78,82594646;12,98116028;
C BA;BRAGADO;2013;70;69,3;4,1;284,13;NEUTRAL;Jul;81,174421;11,15299845;
C BA;BOLIVAR;2013;95;94,05;4;376,2;NEUTRAL;Jul;84,03461347;10,80646046;
SW BA;B BLANCA;2013;200;196;1,4;274,4;NEUTRAL;Jul;82,32935512;10,71360904;
N BA;JUNIN;2013;80;79,2;4;316,8;NEUTRAL;Jul;81,68193437;11,0362584;
W BA;LINCOLN;2013;102;100,98;3,3;333,234;NEUTRAL;Jul;80,89319647;11,23267981;
N BA;PERGAMINO;2013;80;79,2;4;316,8;NEUTRAL;Jul;78,3964375;12,61068749;
SW BA;PIGUE;2013;330;326,7;2,6;849,42;NEUTRAL;Jul;81,83438211;10,78139751;
C BA;SALIQUELLO;2013;100;99;2,7;267,3;NEUTRAL;Jul;81,03508236;11,39455522;
SE BA;TANDIL;2013;289;287,555;5,2;1495,286;NEUTRAL;Jul;82,64173573;10,11080855;
SE BA;TRES ARROYOS;2013;558;541,26;3,9;2110,914;NEUTRAL;Jul;82,2648632;10,80344185;
C BA;25 DE MAYO;2013;105;104,475;4;417,9;NEUTRAL;Jul;82,96881084;10,26316882;
S SFE;CASILDA;2013;85;82,45;2,2;181,39;NEUTRAL;Jul;78,10232493;11,96803683;
C SFE;CDA GOMEZ;2013;145;140,65;2,3;323,495;NEUTRAL;Jul;78,51726715;12,38963354;
N SFE;RAFAELA;2013;165;148,5;1,7;252,45;NEUTRAL;Jul;77,11293766;11,52039567;
N SFE;AVELLANEDA;2013;24;21,6;1,3;28,08;NEUTRAL;Jul;77,85;12,2;
S SFE;VDO TUERTO;2013;85;83,3;2,9;241,57;NEUTRAL;Jul;78,5;11,46666667;
S CBA;LABOULAYE;2013;85;80,75;1,6;129,2;NEUTRAL;Jul;78,71666667;13,23333333;
E CBA;M JUAREZ;2013;180;171;2,8;478,8;NEUTRAL;Jul;77,61117967;12,43468463;
S CBA;RIO IV;2013;80;72;1,6;115,2;NEUTRAL;Jul;76,1;12,8;
N CBA;S FRANCISCO;2013;170;136;1,1;149,6;NEUTRAL;Jul;76,5;13,8;
C CBA;VILLA MARIA;2013;150;127,5;1,1;140,25;NEUTRAL;Jul;73,77531855;13,81392912;
ER;PARANA;2013;111;107,67;2,1;226,107;NEUTRAL;Jul;78,33527899;11,10641597;
ER;ROS DEL TALA;2013;160;158,4;2,7;427,68;NEUTRAL;Jul;78,83198951;10,99608432;
S LP;SANTA ROSA;2013;135;132,3;2,2;291,06;NEUTRAL;Jul;79,87262569;12,58310474;
N LP;GRAL PICO;2013;70;68,6;1,6;109,76;NEUTRAL;Jul;78,82594646;12,98116028;
C BA;BRAGADO;2013;70;69,3;4,1;284,13;NEUTRAL;Aug;81,174421;11,15299845;
C BA;BOLIVAR;2013;95;94,05;4;376,2;NEUTRAL;Aug;84,03461347;10,80646046;
SW BA;B BLANCA;2013;200;196;1,4;274,4;NEUTRAL;Aug;82,32935512;10,71360904;
N BA;JUNIN;2013;80;79,2;4;316,8;NEUTRAL;Aug;81,68193437;11,0362584;
W BA;LINCOLN;2013;102;100,98;3,3;333,234;NEUTRAL;Aug;80,89319647;11,23267981;
N BA;PERGAMINO;2013;80;79,2;4;316,8;NEUTRAL;Aug;78,3964375;12,61068749;
SW BA;PIGUE;2013;330;326,7;2,6;849,42;NEUTRAL;Aug;81,83438211;10,78139751;
C BA;SALIQUELLO;2013;100;99;2,7;267,3;NEUTRAL;Aug;81,03508236;11,39455522;
SE BA;TANDIL;2013;289;287,555;5,2;1495,286;NEUTRAL;Aug;82,64173573;10,11080855;
SE BA;TRES ARROYOS;2013;558;541,26;3,9;2110,914;NEUTRAL;Aug;82,2648632;10,80344185;
C BA;25 DE MAYO;2013;105;104,475;4;417,9;NEUTRAL;Aug;82,96881084;10,26316882;
S SFE;CASILDA;2013;85;82,45;2,2;181,39;NEUTRAL;Aug;78,10232493;11,96803683;
C SFE;CDA GOMEZ;2013;145;140,65;2,3;323,495;NEUTRAL;Aug;78,51726715;12,38963354;
N SFE;RAFAELA;2013;165;148,5;1,7;252,45;NEUTRAL;Aug;77,11293766;11,52039567;
N SFE;AVELLANEDA;2013;24;21,6;1,3;28,08;NEUTRAL;Aug;77,85;12,2;
S SFE;VDO TUERTO;2013;85;83,3;2,9;241,57;NEUTRAL;Aug;78,5;11,46666667;
S CBA;LABOULAYE;2013;85;80,75;1,6;129,2;NEUTRAL;Aug;78,71666667;13,23333333;
E CBA;M JUAREZ;2013;180;171;2,8;478,8;NEUTRAL;Aug;77,61117967;12,43468463;
S CBA;RIO IV;2013;80;72;1,6;115,2;NEUTRAL;Aug;76,1;12,8;
N CBA;S FRANCISCO;2013;170;136;1,1;149,6;NEUTRAL;Aug;76,5;13,8;
C CBA;VILLA MARIA;2013;150;127,5;1,1;140,25;NEUTRAL;Aug;73,77531855;13,81392912;
ER;PARANA;2013;111;107,67;2,1;226,107;NEUTRAL;Aug;78,33527899;11,10641597;
ER;ROS DEL TALA;2013;160;158,4;2,7;427,68;NEUTRAL;Aug;78,83198951;10,99608432;
S LP;SANTA ROSA;2013;135;132,3;2,2;291,06;NEUTRAL;Aug;79,87262569;12,58310474;
N LP;GRAL PICO;2013;70;68,6;1,6;109,76;NEUTRAL;Aug;78,82594646;12,98116028;
C BA;BRAGADO;2013;70;69,3;4,1;284,13;NEUTRAL;Sep;81,174421;11,15299845;
C BA;BOLIVAR;2013;95;94,05;4;376,2;NEUTRAL;Sep;84,03461347;10,80646046;
SW BA;B BLANCA;2013;200;196;1,4;274,4;NEUTRAL;Sep;82,32935512;10,71360904;
N BA;JUNIN;2013;80;79,2;4;316,8;NEUTRAL;Sep;81,68193437;11,0362584;
W BA;LINCOLN;2013;102;100,98;3,3;333,234;NEUTRAL;Sep;80,89319647;11,23267981;
N BA;PERGAMINO;2013;80;79,2;4;316,8;NEUTRAL;Sep;78,3964375;12,61068749;
SW BA;PIGUE;2013;330;326,7;2,6;849,42;NEUTRAL;Sep;81,83438211;10,78139751;
C BA;SALIQUELLO;2013;100;99;2,7;267,3;NEUTRAL;Sep;81,03508236;11,39455522;
SE BA;TANDIL;2013;289;287,555;5,2;1495,286;NEUTRAL;Sep;82,64173573;10,11080855;
SE BA;TRES ARROYOS;2013;558;541,26;3,9;2110,914;NEUTRAL;Sep;82,2648632;10,80344185;
C BA;25 DE MAYO;2013;105;104,475;4;417,9;NEUTRAL;Sep;82,96881084;10,26316882;
S SFE;CASILDA;2013;85;82,45;2,2;181,39;NEUTRAL;Sep;78,10232493;11,96803683;
C SFE;CDA GOMEZ;2013;145;140,65;2,3;323,495;NEUTRAL;Sep;78,51726715;12,38963354;
N SFE;RAFAELA;2013;165;148,5;1,7;252,45;NEUTRAL;Sep;77,11293766;11,52039567;
N SFE;AVELLANEDA;2013;24;21,6;1,3;28,08;NEUTRAL;Sep;77,85;12,2;
S SFE;VDO TUERTO;2013;85;83,3;2,9;241,57;NEUTRAL;Sep;78,5;11,46666667;
S CBA;LABOULAYE;2013;85;80,75;1,6;129,2;NEUTRAL;Sep;78,71666667;13,23333333;
E CBA;M JUAREZ;2013;180;171;2,8;478,8;NEUTRAL;Sep;77,61117967;12,43468463;
S CBA;RIO IV;2013;80;72;1,6;115,2;NEUTRAL;Sep;76,1;12,8;
N CBA;S FRANCISCO;2013;170;136;1,1;149,6;NEUTRAL;Sep;76,5;13,8;
C CBA;VILLA MARIA;2013;150;127,5;1,1;140,25;NEUTRAL;Sep;73,77531855;13,81392912;
ER;PARANA;2013;111;107,67;2,1;226,107;NEUTRAL;Sep;78,33527899;11,10641597;
ER;ROS DEL TALA;2013;160;158,4;2,7;427,68;NEUTRAL;Sep;78,83198951;10,99608432;
S LP;SANTA ROSA;2013;135;132,3;2,2;291,06;NEUTRAL;Sep;79,87262569;12,58310474;
N LP;GRAL PICO;2013;70;68,6;1,6;109,76;NEUTRAL;Sep;78,82594646;12,98116028;
C BA;BRAGADO;2013;70;69,3;4,1;284,13;NEUTRAL;Oct;81,174421;11,15299845;
C BA;BOLIVAR;2013;95;94,05;4;376,2;NEUTRAL;Oct;84,03461347;10,80646046;
SW BA;B BLANCA;2013;200;196;1,4;274,4;NEUTRAL;Oct;82,32935512;10,71360904;
N BA;JUNIN;2013;80;79,2;4;316,8;NEUTRAL;Oct;81,68193437;11,0362584;
W BA;LINCOLN;2013;102;100,98;3,3;333,234;NEUTRAL;Oct;80,89319647;11,23267981;
